id,prompt,response,file_path,commit_hash,timestamp,prompt_length,response_length,model_used,response_time,relevance
19,How to read a CSV file?,Use pandas.read_csv(),file_a.py,abc123,2026-03-09 10:00:00,23,21,models/gemini-2.5-flash,1.2,1
20,CSV parsing errors,Handle with try/except,file_a.py,abc123,2026-03-09 10:02:00,18,22,models/gemini-2.5-flash,0.8,1
21,CSV encoding issues,Use encoding='utf-8',file_a.py,abc123,2026-03-09 10:04:00,19,20,models/gemini-2.5-flash,1.1,1
22,Still getting CSV errors,Check file path exists,file_a.py,abc124,2026-03-09 10:06:00,24,22,models/gemini-2.5-flash,0.9,1
23,How to create a class?,class MyClass: ...,file_b.py,abc124,2026-03-09 11:00:00,22,18,models/gemini-2.5-flash,1.5,1
24,Add method to class,def my_method(self): ...,file_b.py,abc125,2026-03-09 13:00:00,19,24,models/gemini-2.5-flash,2.0,1
25,Database connection in Python,Use sqlite3.connect(),file_c.py,abc125,2026-03-09 12:00:00,29,21,models/gemini-2.5-flash,1.8,1
26,SQL injection prevention,Use parameterized queries,file_c.py,abc126,2026-03-09 12:08:00,24,25,models/gemini-2.5-flash,1.3,1
27,Database indexing,CREATE INDEX ...,file_c.py,abc126,2026-03-09 12:20:00,17,16,models/gemini-2.5-flash,1.6,1
28,What is Python GIL?,Global Interpreter Lock...,,abc126,2026-03-09 14:00:00,19,26,models/gemini-2.5-flash,2.1,0
29,Explain decorators,@decorator syntax...,,abc127,2026-03-09 15:00:00,18,20,models/gemini-2.5-flash,1.9,0
